layer,method,scope,direction,gap_closed_mean_pct,ci95_lo,ci95_hi,gap_closed_sd_pct,n,n_tasks
-2,all_tc_features,all,inject,42.766442702951565,35.935969255088466,50.63754245799136,20.439316127032864,34,10
-2,color_features,all,inject,0.04549422181920762,-0.09937514374030984,0.17389777719316285,0.411281951531942,34,10
-2,mlp_swap_ceiling,all,inject,76.61111203746039,68.5073033253707,84.77542906437318,22.525313314359384,34,10
-2,mlp_swap_ceiling,bowl,inject,26.696127244231796,21.94736108245944,31.37481425062649,19.26401752909012,34,10
-2,mlp_swap_ceiling,nonbowl,inject,61.371986736585846,52.121178585104836,71.31438852025143,28.91028087915414,34,10
-2,occ_features,all,inject,0.2655666489347195,-0.3213653192627653,0.9209258393957319,1.8060217823112605,34,10
-2,occ_features,bowl,inject,0.2623549423629732,-0.20651046903218528,0.8275222999092035,1.8480587281374543,34,10
-2,occ_features,nonbowl,inject,0.0901411968338771,-0.1526878568735716,0.31163147132228397,0.5682310868283094,34,10
-2,occ_features_target_specific,all,inject,0.2655666489347195,-0.3213653192627653,0.9209258393957319,1.8060217823112605,34,10
-2,occ_features_uncapped,all,inject,0.2655666489347195,-0.3213653192627653,0.9209258393957319,1.8060217823112605,34,10
-2,random_k_2000,all,inject,3.8441459699337175,2.455449922305219,6.232184687468839,6.8727052099009125,34,10
-2,random_k_500,all,inject,0.6082577123158867,-0.07735421495542193,1.409170558144222,1.795183235533045,34,10
-2,random_raw,all,inject,0.04716684596073181,-0.11173273561606963,0.20459247799764338,0.37747895302395323,34,10
-2,random_same_norm,all,inject,0.0537902474834677,-0.007972522918010441,0.10843946650540613,0.20367401219550416,34,10
-2,random_same_norm_uncapped,all,inject,0.029509283460160574,-0.10005537621539548,0.15111406648861514,0.28998824493339986,34,10
-2,topk_discovery_100,all,inject,0.029991149361404092,-0.06028562618798216,0.14374418507411083,0.2759698796237554,34,10
-2,topk_discovery_2000,all,inject,6.470330737013142,1.6258692731890148,11.88139051696733,18.349021478589144,34,10
-2,topk_discovery_500,all,inject,2.071352437213703,0.6373182849723238,3.870515565015087,5.987728178654463,34,10
-2,topk_discovery_5000,all,inject,10.447228004637768,6.808695155272719,15.34581576599689,20.89236603941075,34,10
-2,topk_oracle_100,all,inject,0.12057075813929438,-0.013273041719383021,0.3417794613635026,0.42712348962648394,34,10
-2,topk_oracle_1000,all,inject,11.911828670727981,7.9689083834393655,16.310564084581294,15.963722582173041,34,10
-2,topk_oracle_200,all,inject,1.0375372944241277,0.36559308385596534,1.9438286992232576,2.8759531711344763,34,10
-2,topk_oracle_2000,all,inject,18.182625018279953,14.052090091404086,22.895055099873982,18.12483382763002,34,10
-2,topk_oracle_50,all,inject,0.02042447397473782,-0.02791820851869553,0.0864871574048124,0.14011090291964384,34,10
-2,topk_oracle_500,all,inject,6.712473243742428,3.457445151785568,10.796499083456096,13.12743808816982,34,10
-2,topk_oracle_5000,all,inject,29.795346850667602,23.672204899317787,37.6825232562159,19.593548788939994,34,10
-2,color_features,all,remove,-0.06191347782430565,-0.1429200851668922,0.03633496047878134,0.44714420132356336,34,10
-2,mlp_swap_ceiling,all,remove,87.99184973057825,86.52060566160024,89.30503456761522,5.89927613885563,34,10
-2,occ_features,all,remove,0.5141428385559046,-1.954879736238664,3.5098232294887475,8.37394049822662,34,10
1,color_features,all,inject,0.1155332986159653,-0.03945557729045146,0.26737129687519,0.40308577225100445,34,10
1,mlp_swap_ceiling,all,inject,13.35665359159517,8.934187354060288,17.59323269625484,13.312789156919473,34,10
1,occ_features,all,inject,-0.073017412868063,-0.23026143714814934,0.09494385295067627,0.47977016442872394,34,10
1,random_same_norm,all,inject,0.011839886884137625,-0.023968219018013628,0.04911122215634611,0.11926932693248292,34,10
1,single_feature_1113,all,inject,0.03429178396190783,-0.06737773082887388,0.12705390522375357,0.34808480807829906,34,10
1,single_feature_564,all,inject,0.09439957998769667,0.03537427011280453,0.16028808302990458,0.3500257693941206,34,10
5,color_features,all,inject,-0.034030971138414384,-0.11622813357068508,0.043035758429649136,0.29284942083515364,34,10
5,mlp_swap_ceiling,all,inject,12.544084429703455,8.325128779735563,16.974737140596602,13.712553033038544,34,10
5,occ_features,all,inject,-0.027364871816618553,-0.24632088844495134,0.17250882660993708,0.732661762058775,34,10
5,random_same_norm,all,inject,0.10336602670626431,0.006318893736365602,0.18597609106555613,0.23161704260000313,34,10
5,single_feature_93,all,inject,0.12063775704725585,0.026465189158217228,0.20886295756901305,0.3246378356734555,34,10
7,color_features,all,inject,-0.003722644647513922,-0.10003451342267793,0.07879095600412742,0.2610270317108666,34,10
7,mlp_swap_ceiling,all,inject,12.684441259017678,9.521169770036177,16.067090725871076,11.228426974156871,34,10
7,occ_features,all,inject,0.10816546503202394,-0.019019759990084265,0.2246887429579689,0.3993276721897125,34,10
7,random_same_norm,all,inject,0.03917059085929888,-0.04607944780877378,0.11886528825716289,0.23058410649786645,34,10
